[2022-05-09 07:34:01.351] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.351] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.358] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.358] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.361] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.361] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.365] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.366] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.370] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.371] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.376] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.376] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.381] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.381] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.385] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.385] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.388] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.388] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.394] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.394] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_right_front/camera_right_front
[2022-05-09 07:34:01.398] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
